upper_folder,file_name,x_min,x_max,y_min,y_max
10541_market,00003.json,830.4345999999999,920.9345999999999,298.59640000000013,567.5964000000001
10541_market,00004.json,728.2982,844.2982,329.6708,603.6708
10541_market,00005.json,641.5995,759.5995,370.2455,684.7455
10541_market,00006.json,535.5062000000001,671.5062000000001,419.55610000000036,775.5561000000004
10541_market,00007.json,398.98139999999995,550.5492999999997,488.9875999999998,875.5859000000005
10541_market,00001.json,36.97829999999999,223.26659999999998,897.9038999999999,1080.0
10541_market,00002.json,64.62429999999998,248.9095,889.9194,1080.0
10541_market,00003.json,549.0,769.0,742.0,1080.0
10541_market,00004.json,994.0,1174.0,639.0,1080.0
10541_market,00005.json,1251.6398000000002,1456.6398000000002,570.0,1080.0
10541_market,00006.json,1449.6677,1645.9374000000005,510.66769999999985,955.6510000000004
10541_market,00007.json,1622.7637999999997,1799.663999999999,474.84499999999997,873.1295999999998
10541_market,00008.json,1757.6182817283216,1920.0,457.13700000000006,808.1795000000009
10541_market,00003.json,187.83230000000003,278.83230000000003,149.9814,417.0
10541_market,00004.json,314.2510999999998,434.2510999999998,171.37319999999994,445.2978999999999
10541_market,00005.json,487.6995999999999,612.1121999999999,187.5623,472.0623
10541_market,00006.json,689.7049000000004,838.2604000000006,205.33570000000037,489.76660000000044
10541_market,00007.json,902.6583999999998,1054.8939999999998,232.61500000000024,547.7694000000002
03074_market,00001.json,881.6487721210938,978.6487721210938,0.0,172.57736098828127
03074_market,00002.json,882.6487721210938,980.6487721210938,0.0,175.57736098828127
03074_market,00003.json,881.6487721210938,961.6487721210938,2.5773609882812707,204.57736098828127
03074_market,00004.json,886.6963795429688,972.6963795429688,47.57736098828127,271.57736098828127
03074_market,00005.json,872.6963795429688,960.6963795429688,69.57736098828127,292.57736098828127
03074_market,00006.json,864.0441795429688,974.8823795429689,100.5122609882813,346.2258609882813
03074_market,00007.json,806.5805721210937,939.4528721210937,134.4781609882813,376.1855609882813
03074_market,00008.json,695.2730721210938,808.7820721210938,160.13346098828112,418.53336098828106
03074_market,00010.json,479.64877212109377,599.6273999999999,177.57736098828127,390.57736098828127
03074_market,00012.json,337.61157212109373,443.7758721210937,188.86006098828142,398.51786098828137
03074_market,00013.json,262.2389721210938,375.7479721210938,220.83216098828126,385.0863609882813
03074_market,00014.json,195.65247212109392,297.1428721210939,275.13346098828134,456.74786098828133
03074_market,00024.json,774.6487721210938,848.6487721210938,262.57736098828127,442.57736098828127
03074_market,00025.json,744.5278721210939,828.6580721210938,279.1830609882813,466.80676098828127
03074_market,00026.json,716.8911721210936,802.3567721210936,289.1613609882813,487.46826098828126
03074_market,00027.json,675.3164721210937,753.4373721210937,309.2481609882812,512.8966609882812
03074_market,00028.json,630.6363721210937,712.7634721210936,327.9189609882813,532.2351609882813
03074_market,00029.json,570.2854721210938,651.7448721210937,352.57116098828124,553.5488609882811
03074_market,00030.json,520.9624721210937,609.7665721210938,372.47506098828114,594.8191609882812
03074_market,00031.json,475.8508721210941,560.648772121094,378.43476098828137,618.1390609882812
03074_market,00032.json,442.30097212109365,545.1267721210937,402.86316098828127,622.5364609882813
03074_market,00033.json,408.9190721210938,519.7572721210938,434.0869609882812,688.4806609882812
